MSOA21CD,LAT,LONG,msoa21cd,ladnm,Eligible,In_Sample
E02001280,53.3955192565918,-2.312000036239624,E02001280,Trafford,1,1
E02001281,53.39191818237305,-2.3233699798583984,E02001281,Trafford,0,1
E02001282,53.39350128173828,-2.3439600467681885,E02001282,Trafford,0,1
E02001283,53.39276885986328,-2.3980600833892822,E02001283,Trafford,0,1
E02001284,53.37974166870117,-2.3332901000976562,E02001284,Trafford,0,1
E02001285,53.373291015625,-2.364729881286621,E02001285,Trafford,0,1
E02001286,53.37253952026367,-2.3125600814819336,E02001286,Trafford,0,1
E02001287,53.59257125854492,-2.6745400428771973,E02001287,Wigan,0,0
E02001288,53.580570220947266,-2.6589999198913574,E02001288,Wigan,0,0
E02001289,53.57500076293945,-2.6905100345611572,E02001289,Wigan,0,0
E02001290,53.583099365234375,-2.6117498874664307,E02001290,Wigan,0,0
E02001291,53.56013870239258,-2.656059980392456,E02001291,Wigan,1,0
E02001292,53.555641174316406,-2.626929998397827,E02001292,Wigan,0,0
E02001293,53.55876159667969,-2.586440086364746,E02001293,Wigan,0,0
E02001294,53.55004119873047,-2.6407899856567383,E02001294,Wigan,0,0
E02001295,53.547298431396484,-2.617769956588745,E02001295,Wigan,1,0
E02001296,53.54840850830078,-2.665760040283203,E02001296,Wigan,1,0
E02001297,53.5465202331543,-2.689039945602417,E02001297,Wigan,1,0
E02001298,53.53694152832031,-2.6215200424194336,E02001298,Wigan,1,0
E02001299,53.5353889465332,-2.5926198959350586,E02001299,Wigan,0,0
E02001300,53.53553009033203,-2.6727700233459473,E02001300,Wigan,1,0
E02001301,53.53929901123047,-2.645020008087158,E02001301,Wigan,1,0
E02001302,53.53091812133789,-2.564579963684082,E02001302,Wigan,1,0
E02001303,53.53165054321289,-2.4951400756835938,E02001303,Wigan,1,0
E02001304,53.50944900512695,-2.6933999061584473,E02001304,Wigan,0,0
E02001305,53.52708053588867,-2.5483100414276123,E02001305,Wigan,0,0
E02001306,53.521820068359375,-2.6392500400543213,E02001306,Wigan,0,0
E02001307,53.52103042602539,-2.6744298934936523,E02001307,Wigan,0,0
E02001308,53.520328521728516,-2.479909896850586,E02001308,Wigan,0,0
E02001309,53.516578674316406,-2.506040096282959,E02001309,Wigan,0,0
E02001310,53.51728057861328,-2.6056900024414062,E02001310,Wigan,1,0
E02001311,53.519290924072266,-2.455980062484741,E02001311,Wigan,0,0
E02001312,53.506248474121094,-2.5791399478912354,E02001312,Wigan,1,0
E02001313,53.51021957397461,-2.5250000953674316,E02001313,Wigan,1,0
E02001314,53.50468063354492,-2.4596800804138184,E02001314,Wigan,0,0
E02001315,53.4822883605957,-2.4553699493408203,E02001315,Wigan,0,0
E02001316,53.500308990478516,-2.5217599868774414,E02001316,Wigan,1,0
E02001317,53.50156021118164,-2.4920599460601807,E02001317,Wigan,1,0
E02001318,53.5041389465332,-2.6464900970458984,E02001318,Wigan,0,0
E02001319,53.50099182128906,-2.5524001121520996,E02001319,Wigan,1,0
E02001320,53.48822021484375,-2.49780011177063,E02001320,Wigan,0,0
E02001321,53.493309020996094,-2.6175200939178467,E02001321,Wigan,0,0
E02001322,53.48609161376953,-2.641819953918457,E02001322,Wigan,0,0
E02001323,53.484378814697266,-2.525439977645874,E02001323,Wigan,0,0
E02001324,53.47895050048828,-2.5972800254821777,E02001324,Wigan,1,0
E02001325,53.463279724121094,-2.587599992752075,E02001325,Wigan,0,0
E02001326,53.476341247558594,-2.556349992752075,E02001326,Wigan,0,0
E02006902,53.48698043823242,-2.2338500022888184,E02006902,Manchester,0,1
E02006912,53.47898864746094,-2.2318201065063477,E02006912,Manchester,0,1
E02006913,53.498600006103516,-2.2320499420166016,E02006913,Manchester,1,1
E02006914,53.47185134887695,-2.238919973373413,E02006914,Manchester,0,1
E02006915,53.5023307800293,-2.2448999881744385,E02006915,Manchester,1,1
E02006916,53.470211029052734,-2.258150100708008,E02006916,Manchester,1,1
E02006917,53.47621154785156,-2.252880096435547,E02006917,Manchester,0,1
E02006957,53.5047492980957,-2.2537200450897217,E02006957,Salford,1,1
E02006958,53.50019836425781,-2.2630200386047363,E02006958,Salford,1,1
E02006959,53.48760986328125,-2.2530899047851562,E02006959,Salford,1,1
E02006960,53.487178802490234,-2.2674899101257324,E02006960,Salford,1,1
E02006961,53.47706985473633,-2.2871201038360596,E02006961,Salford,1,1
